,Flag.leaf.length,Flag.leaf.width,Panicle.number.per.plant,Plant.height,Panicle.length,Primary.panicle.branch.number,Seed.number.per.panicle,Florets.per.panicle,Seed.length,Seed.width
266,21.175,0.991666667,2.881069365,110.1666667,21.13333333,8.333333333,5.081404365,5.155857343,7.5431,3.597675
267,19.28333333,0.591666667,3.506557897,97.25,18.79166667,9.666666667,4.471638793,4.575569716,7.441141667,3.39825
268,37.61666667,1.108333333,3.388618599,106,22.39166667,7.916666667,4.369447852,4.537069773,9.0544,3.399858333
269,34.975,1.075,3.113515309,92.58333333,24.74166667,9.090909091,4.904657304,5.278964638,9.581616667,2.68765
270,24.875,1.45,2.922265122,108.8333333,22.37272727,8.909090909,4.691347882,4.854158679,10.7766,3.24625
271,28.43333333,1.1,2.627081139,114.25,24.025,10.66666667,4.870734453,5.110983268,10.17014167,3.717766667
272,35.85,1.041666667,3.412247218,142.4444444,32.2,7.090909091,4.050994121,4.651359568,12.54885455,2.940963636
273,29.80833333,1.216666667,2.813410717,130.8333333,23.87272727,10.27272727,4.885552956,5.094865028,9.220925,3.34745
274,36.325,1.541666667,2.590267165,147.9166667,35.68333333,8.916666667,4.717754547,4.967495801,9.897763636,3.247327273
275,26.59166667,1.108333333,3.012261576,100.25,20.325,9.833333333,4.404684659,4.522693964,8.566575,3.356825
276,33.75833333,1.458333333,3.36441813,135.3333333,27.25833333,11,5.379897354,5.466300507,6.835309091,3.3243
277,25.31111111,1.511111111,3.075774981,101.1,17.83333333,10.77777778,4.922411061,5.189246271,8.544,3.848033333
278,26.25,0.966666667,3.567182519,92.83333333,21.6,8.111111111,4.752806185,4.949404428,7.766466667,3.23775
279,29.2,0.941666667,3.235405127,90.91666667,16.95,6.166666667,4.291600343,4.48863637,8.292808333,3.39995
280,34.55,1.408333333,2.866951484,114.75,25.70909091,11.27272727,5.097646671,5.45064821,8.520266667,3.216266667
281,31.675,1.091666667,2.857427602,113.6666667,25.45,10.25,4.846153655,5.05465218,9.467608333,3.343166667
282,21.425,1.466666667,3.008154794,79.75,16.77777778,11.11111111,5.201005184,5.357871897,7.652391667,3.863633333
283,28.14166667,1.166666667,3.071921412,96.41666667,19.37272727,9.727272727,4.831218605,5.094865028,8.309283333,3.641125
284,26.55833333,1.183333333,3.819542153,104,26.425,9.25,4.952888472,5.11248967,9.56905,2.580675
285,27.74166667,1.291666667,2.650891787,93.16666667,22.51111111,9.222222222,4.91665756,5.089278421,9.679854545,2.971590909
286,32.88888889,1.622222222,3.071921412,105.1666667,25.05555556,11.22222222,4.833632899,5.133835728,9.431591667,3.400683333
287,29.35833333,1.258333333,3.063390922,91.08333333,18.61666667,6.416666667,4.220732445,4.428830701,8.11275,3.747416667
289,31.94166667,0.941666667,3.283414346,98.08333333,20,6.818181818,4.275402695,4.392201963,8.752466667,3.531341667
290,27.99166667,1.008333333,3.747541367,90.91666667,18.84545455,10.18181818,4.89239761,4.96284463,7.16465,3.455941667
291,18.28333333,0.966666667,3.387774361,67.75,16.51111111,8.222222222,4.518158809,4.657129925,7.0208,3.221191667
292,30.63636364,1.390909091,3.174575566,107.8181818,21.2,8.875,4.809964599,4.984229093,8.762516667,3.466158333
293,26.43333333,1.016666667,3.273995124,138.5833333,26.46666667,7.666666667,4.919372468,5.033700567,8.318841667,3.485533333
294,27.26666667,1.166666667,3.326234343,107.25,24.15,10.16666667,5.047716969,5.305375731,8.383208333,2.685108333
296,24.95,1.383333333,3.48635519,97.08333333,19.46363636,8.818181818,4.906919516,5.080713996,8.318083333,3.730366667
297,24.6,1.375,3.222203615,99.91666667,18.14545455,10.63636364,4.894441903,5.276257648,8.422808333,3.839725
298,28.00833333,0.968333333,3.326234343,129.75,26.32222222,11.44444444,5.373218675,5.609878713,7.500808333,2.772825
299,27.75,1.075,3.799227511,130.25,25.54545455,8.727272727,4.816609141,4.87866113,8.076133333,3.137541667
300,28.51666667,1.316666667,2.908720897,99.75,21.21111111,10.33333333,5.04576841,5.203507062,8.102783333,3.406666667
301,25.51111111,0.777777778,2.722756348,108.2222222,21.24444444,9.444444444,4.834516681,5.009894279,7.3055,3.293477778
302,23.65,0.9875,2.862200881,101.9166667,22.51666667,9.583333333,4.596241555,4.816690897,7.0951375,3.2013625
303,24.00833333,1.425,3.17805383,98.41666667,17.55833333,10.08333333,4.969234428,5.245268145,8.369708333,3.805808333
304,33.45833333,1.033333333,3.606403232,126.5,27.625,9.5,4.802653991,5.029893111,7.844366667,3.232266667
306,22.98333333,0.858333333,3.392829132,97,18.1,7.555555556,4.249793101,4.491696036,7.337758333,3.61325
307,27.125,1.191666667,2.674148649,101.5833333,18.28333333,11.33333333,4.779123493,4.92180408,7.7673,3.790063636
308,31.70833333,1.1,3.208825489,105.0833333,27.41111111,12.88888889,5.354487638,5.585165758,8.680591667,2.435808333
309,30.66666667,1.441666667,2.788092909,132.1666667,25.86363636,9.363636364,4.746511908,4.901902094,9.246408333,3.361191667
310,24.56666667,1.266666667,2.842969519,114.6666667,26.05833333,10.33333333,4.596954713,5.05199048,10.22410909,2.697636364
311,23.59166667,0.716666667,3.516508228,94.66666667,20.6125,10.625,4.729352456,4.929666232,7.348366667,3.428675
312,28.16666667,0.991666667,3.641962534,122,25.175,7.666666667,4.575569716,4.662652621,8.336058333,2.8867
313,26.91666667,1.291666667,3.417726684,123.1666667,24.34166667,10.16666667,5.171430517,5.288687818,9.052758333,2.508191667
314,40,1.525,3.699242241,130.6666667,24.36666667,8.555555556,5.008967237,5.086566999,8.392516667,2.755825
315,35.15833333,1.083333333,3.113515309,151.6666667,28.2,10.875,5.053346412,5.221828941,9.068575,3.165725
316,36.825,1.5,3.344038968,135.5,26.85,10,5.422142717,5.470358993,7.020316667,3.026941667
317,24.275,1.233333333,3.320228319,136.3333333,22.78888889,8.222222222,4.578452798,4.644390899,8.575916667,3.59995
318,30.625,1.491666667,3.245193133,145.5833333,26.625,10.16666667,5.184121639,5.226194602,7.289366667,3.176441667
320,28.75,0.991666667,3.624340933,126.75,27.11111111,7.666666667,4.8533315,4.902183586,7.869833333,2.947625
